iter	Passed	Remaining
926	9822	773
927	9833	762
928	9843	752
929	9854	741
930	9866	731
931	9876	720
932	9887	710
933	9898	699
934	9908	688
935	9919	678
936	9930	667
937	9941	657
938	9952	646
939	9962	635
940	9973	625
941	9984	614
942	9994	604
943	10005	593
944	10015	582
945	10026	572
946	10037	561
947	10048	551
948	10058	540
949	10068	529
950	10079	519
951	10089	508
952	10100	498
953	10111	487
954	10121	476
955	10131	466
956	10142	455
957	10152	445
958	10163	434
959	10174	423
960	10184	413
961	10194	402
962	10205	392
963	10215	381
964	10226	370
965	10237	360
966	10247	349
967	10258	339
968	10268	328
969	10279	317
970	10291	307
971	10301	296
972	10312	286
973	10322	275
974	10332	264
975	10342	254
976	10352	243
977	10363	233
978	10374	222
979	10385	211
980	10396	201
981	10406	190
982	10417	180
983	10428	169
984	10438	158
985	10449	148
986	10459	137
987	10470	127
988	10481	116
989	10491	105
990	10502	95
991	10512	84
992	10523	74
993	10533	63
994	10543	52
995	10554	42
996	10565	31
997	10575	21
998	10586	10
999	10597	0
